,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
123,Goa to Mumbai,"National Travels,Goa",A/C Sleeper (2+1),19:30,10:30,15h 00m,INR 650,19 Seats available,4.1
124,Goa to Mumbai,"National Travels,Goa",NON A/C Sleeper (2+1),18:30,07:30,13h 00m,INR 550,13 Seats available,4.0
125,Goa to Mumbai,Manish Roshan Travels,A/C Sleeper (2+1),20:30,10:30,14h 00m,INR 649,28 Seats available,3.5
126,Goa to Mumbai,Jolly Tours and Travels,VE A/C Sleeper (2+1),18:25,06:30,12h 05m,1739,7 Seats available,4.1
127,Goa to Mumbai,Anand Travels,NON A/C Sleeper (2+1),19:30,07:30,12h 00m,639,10 Seats available,3.2
128,Goa to Mumbai,Atmaram Travels(M.Dev),A/C Sleeper (2+1),21:02,10:57,13h 55m,INR 650,20 Seats available,3.8
129,Goa to Mumbai,Atmaram Travels Goa,AC Sleeper (2+1),18:30,10:30,16h 00m,INR 606,18 Seats available,3.6
130,Goa to Mumbai,Atmaram Travels Goa,A/C Sleeper (2+1),22:31,12:41,14h 10m,INR 999,21 Seats available,3.6
131,Goa to Mumbai,Atmaram Travels (Vishal),Non AC Seater (2+2),18:10,09:20,15h 10m,INR 450,30 Seats available,3.6
132,Goa to Mumbai,PVS Tours and Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,09:20,12h 50m,INR 3000,36 Seats available,3.6
133,Goa to Mumbai,Naik Tours And Travels,NON A/C Sleeper (2+1),16:20,07:05,14h 45m,523,14 Seats available,4.5
134,Goa to Mumbai,AAINATH TRAVELS,A/C Sleeper (2+1),21:30,12:10,14h 40m,INR 1500,23 Seats available,2.2
135,Goa to Mumbai,Sai Travels,A/C Sleeper (2+1),19:15,10:00,14h 45m,INR 4000,27 Seats available,3.6
136,Goa to Mumbai,Sai Travels,NON A/C Sleeper (2+1),17:30,09:00,15h 30m,INR 5000,31 Seats available,3.6
137,Goa to Mumbai,Maa tours & Travels,A/C Seater (2+2),16:30,06:45,14h 15m,INR 1500,49 Seats available,1.7
138,Goa to Mumbai,VRL Travels,A/C Sleeper (2+1),19:30,10:00,14h 30m,INR 1100,13 Seats available,3.0
139,Pandharpur to Goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,10:00,12h 45m,INR 735,31 Seats available,3.2
140,Pandharpur to Goa,SR Tours & Travels,A/C Sleeper (2+1),19:45,05:30,09h 45m,1035,21 Seats available,No rating
141,Bangalore to Goa,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,10:15,13h 15m,1099,14 Seats available,4.7
142,Bangalore to Goa,Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,10:15,12h 55m,INR 999,14 Seats available,4.5
